# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 21K of event 'cycles'
# Event count (approx.): 9508675690
#
# Overhead  Command    Shared Object     Symbol                                        
# ........  .........  ................  ..............................................
#
    0.00 :   ffffffff81b78097:       movl    %gs:0x7e4aa66a(%rip), %eax
    0.00 :   ffffffff81b7809e:       testl   $0xffff00, %eax # imm = 0xFFFF00
    0.00 :   ffffffff81b780a3:       jne     0xffffffff81b7815e <__do_softirq+0x23e>
    0.00 :   ffffffff81b780a9:       movl    %r12d, %edx
    0.00 :   ffffffff81b780ac:       movq    %gs:0x22700, %rax
    0.00 :   ffffffff81b780b5:       andl    $0xfffff7ff, 0x354(%rax) # imm = 0xFFFFF7FF
   21.08 :   ffffffff81b780bf:       andl    $0x800, %edx    # imm = 0x800
    0.00 :   ffffffff81b780c5:       orl     %edx, 0x354(%rax)
    0.00 :   ffffffff81b780cb:       addq    $0x28, %rsp
    0.00 :   ffffffff81b780cf:       popq    %rbx
    0.00 :   ffffffff81b780d0:       popq    %r12
    0.00 :   ffffffff81b780d2:       popq    %r13
    0.00 :   ffffffff81b780d4:       popq    %r14
    0.00 :   ffffffff81b780d6:       popq    %r15
    0.00 :   ffffffff81b780d8:       popq    %rbp
    0.00 :   ffffffff81b780d9:       xorl    %eax, %eax
    0.00 :   ffffffff81b780db:       xorl    %edx, %edx
    0.00 :   ffffffff81b780dd:       xorl    %ecx, %ecx
    0.00 :   ffffffff81b780df:       xorl    %esi, %esi
    0.00 :   ffffffff81b780e1:       xorl    %edi, %edi
    0.00 :   ffffffff81b780e3:       xorl    %r8d, %r8d
    0.00 :   ffffffff81b780e6:       xorl    %r9d, %r9d
    0.00 :   ffffffff81b780e9:       xorl    %r10d, %r10d
    0.00 :   ffffffff81b780ec:       xorl    %r11d, %r11d
    0.00 :   ffffffff81b780ef:       jmp     0xffffffff81b787c0 <__x86_return_thunk>
    0.00 :   ffffffff81b780f4:       movq    (%r14), %rcx
    0.00 :   ffffffff81b780f7:       movq    -0x7e1f5fe0(,%rax,8), %rdx
    0.00 :   ffffffff81b780ff:       movl    %r13d, %esi
    0.00 :   ffffffff81b78102:       movl    %r15d, %r8d
    0.00 :   ffffffff81b78105:       movq    $-0x7df7f4f0, %rdi # imm = 0x82080B10
    0.00 :   ffffffff81b7810c:       callq   0xffffffff810da920 <_printk>
    0.00 :   ffffffff81b78111:       movl    %gs:0x7e4aa5f0(%rip), %ecx
    0.00 :   ffffffff81b78118:       movl    %ecx, %edx
    0.00 :   ffffffff81b7811a:       movl    %ecx, %eax
    0.00 :   ffffffff81b7811c:       andl    $0x80000000, %edx # imm = 0x80000000
    0.00 :   ffffffff81b78122:       orl     %r15d, %edx
    0.00 :   ffffffff81b78125:       cmpxchgl        %edx, %gs:0x7e4aa5db(%rip)
    0.00 :   ffffffff81b7812d:       cmpl    %eax, %ecx
    0.00 :   ffffffff81b7812f:       jne     0xffffffff81b78111 <__do_softirq+0x1f1>
    0.00 :   ffffffff81b78131:       jmp     0xffffffff81b78008 <__do_softirq+0xe8>
    0.00 :   ffffffff81b78136:       callq   0xffffffff810fdda0 <rcu_softirq_qs>
    0.00 :   ffffffff81b7813b:       nopl    (%rax,%rax)
    0.00 :   ffffffff81b78140:       jmp     0xffffffff81b78037 <__do_softirq+0x117>
    0.00 :   ffffffff81b78145:       callq   0xffffffff810b25c0 <wake_up_process>
    0.00 :   ffffffff81b7814a:       nopw    (%rax,%rax)
    0.00 :   ffffffff81b78150:       jmp     0xffffffff81b7808c <__do_softirq+0x16c>
   23.71 :   ffffffff81b78155:       movl    -0x50(%rbp), %r12d
   31.78 :   ffffffff81b78159:       jmp     0xffffffff81b7808c <__do_softirq+0x16c>
    0.00 :   ffffffff81b7815e:       ud2
    0.00 :   ffffffff81b78160:       jmp     0xffffffff81b780a9 <__do_softirq+0x189>
 Percent |	Source code & Disassembly of elf for cycles (4 samples, percent: local period)
----------------------------------------------------------------------------------------------
         :
         :
         : 2                Disassembly of section .text:
         :
         : 4                ffffffff81b622f0 <clear_page_rep>:
         : 5                ; clear_page_rep():
    0.00 :   ffffffff81b622f0:       movl    $0x200, %ecx    # imm = 0x200
    0.00 :   ffffffff81b622f5:       xorl    %eax, %eax
  100.00 :   ffffffff81b622f7:       rep             stosq   %rax, %es:(%rdi)
    0.00 :   ffffffff81b622fa:       jmp     0xffffffff81b787c0 <__x86_return_thunk>
 Percent |	Source code & Disassembly of elf for cycles (3 samples, percent: local period)
----------------------------------------------------------------------------------------------
         :
         :
         : 2                Disassembly of section .text:
         :
         : 4                ffffffff81226f00 <unmap_page_range>:
         : 5                ; unmap_page_range():
    0.00 :   ffffffff81226f00:       pushq   %rbp
    0.00 :   ffffffff81226f01:       movq    %rsp, %rbp
    0.00 :   ffffffff81226f04:       pushq   %r15
    0.00 :   ffffffff81226f06:       pushq   %r14
    0.00 :   ffffffff81226f08:       pushq   %r13
    0.00 :   ffffffff81226f0a:       pushq   %r12
    0.00 :   ffffffff81226f0c:       pushq   %rbx
    0.00 :   ffffffff81226f0d:       subq    $0xb8, %rsp
    0.00 :   ffffffff81226f14:       movq    %gs:0x28, %rax
    0.00 :   ffffffff81226f1d:       movq    %rax, -0x30(%rbp)
    0.00 :   ffffffff81226f21:       xorl    %eax, %eax
    0.00 :   ffffffff81226f23:       callq   0xffffffff81b6b6c0 <stackleak_track_stack>
    0.00 :   ffffffff81226f28:       cmpq    %rcx, %rdx
    0.00 :   ffffffff81226f2b:       jae     0xffffffff81227fa3 <unmap_page_range+0x10a3>
    0.00 :   ffffffff81226f31:       testb   $0x1, 0x18(%rdi)
    0.00 :   ffffffff81226f35:       movq    %rdi, %r15
    0.00 :   ffffffff81226f38:       movq    %rsi, %r12
    0.00 :   ffffffff81226f3b:       movq    %rdx, %r14
    0.00 :   ffffffff81226f3e:       movq    %r8, %r13
    0.00 :   ffffffff81226f41:       jne     0xffffffff81226f85 <unmap_page_range+0x85>
    0.00 :   ffffffff81226f43:       movq    0x10(%rsi), %rdx
    0.00 :   ffffffff81226f47:       movzbl  0x19(%rdi), %eax
    0.00 :   ffffffff81226f4b:       shrq    $0x16, %rdx
    0.00 :   ffffffff81226f4f:       andl    $0x1, %edx
    0.00 :   ffffffff81226f52:       andl    $-0x3, %eax
    0.00 :   ffffffff81226f55:       addl    %edx, %edx
    0.00 :   ffffffff81226f57:       orl     %edx, %eax
    0.00 :   ffffffff81226f59:       movb    %al, 0x19(%rdi)
    0.00 :   ffffffff81226f5c:       movq    0x10(%rsi), %rdx
    0.00 :   ffffffff81226f60:       andl    $-0x2, %eax
    0.00 :   ffffffff81226f63:       shrq    $0x2, %rdx
    0.00 :   ffffffff81226f67:       andl    $0x1, %edx
    0.00 :   ffffffff81226f6a:       orl     %edx, %eax
    0.00 :   ffffffff81226f6c:       movb    %al, 0x19(%rdi)
    0.00 :   ffffffff81226f6f:       testq   $0x10000400, 0x10(%rsi) # imm = 0x10000400
    0.00 :   ffffffff81226f77:       setne   %dl
    0.00 :   ffffffff81226f7a:       andl    $-0x5, %eax
    0.00 :   ffffffff81226f7d:       shll    $0x2, %edx
    0.00 :   ffffffff81226f80:       orl     %edx, %eax
    0.00 :   ffffffff81226f82:       movb    %al, 0x19(%rdi)
    0.00 :   ffffffff81226f85:       movq    0x20(%r12), %rdx
    0.00 :   ffffffff81226f8a:       movq    %r14, %rax
    0.00 :   ffffffff81226f8d:       leaq    -0x1(%rcx), %rbx
    0.00 :   ffffffff81226f91:       shrq    $0x24, %rax
    0.00 :   ffffffff81226f95:       movq    %r12, -0xd0(%rbp)
    0.00 :   ffffffff81226f9c:       movq    %r13, %r12
    0.00 :   ffffffff81226f9f:       andl    $0xff8, %eax    # imm = 0xFF8
    0.00 :   ffffffff81226fa4:       movq    %rbx, -0xc8(%rbp)
    0.00 :   ffffffff81226fab:       movq    %r14, %r13
    0.00 :   ffffffff81226fae:       addq    0x210(%rdx), %rax
    0.00 :   ffffffff81226fb5:       movq    %rcx, %rbx
    0.00 :   ffffffff81226fb8:       movq    %rax, %rcx
    0.00 :   ffffffff81226fbb:       movabsq $0x8000000000, %rax # imm = 0x8000000000
    0.00 :   ffffffff81226fc5:       movq    -0xc8(%rbp), %rdi
    0.00 :   ffffffff81226fcc:       movabsq $-0x8000000000, %rdx # imm = 0xFFFFFF8000000000
    0.00 :   ffffffff81226fd6:       addq    %r13, %rax
    0.00 :   ffffffff81226fd9:       andq    %rdx, %rax
    0.00 :   ffffffff81226fdc:       movq    %rax, -0xb0(%rbp)
    0.00 :   ffffffff81226fe3:       decq    %rax
    0.00 :   ffffffff81226fe6:       cmpq    %rdi, %rax
    0.00 :   ffffffff81226fe9:       movq    (%rcx), %rax
    0.00 :   ffffffff81226fec:       jae     0xffffffff81227059 <unmap_page_range+0x159>
    0.00 :   ffffffff81226fee:       testq   $-0x61, %rax
    0.00 :   ffffffff81226ff4:       jne     0xffffffff81227068 <unmap_page_range+0x168>
    0.00 :   ffffffff81226ff6:       movq    -0xb0(%rbp), %r13
    0.00 :   ffffffff81226ffd:       addq    $0x8, %rcx
    0.00 :   ffffffff81227001:       cmpq    %r13, %rbx
    0.00 :   ffffffff81227004:       jne     0xffffffff81226fbb <unmap_page_range+0xbb>
    0.00 :   ffffffff81227006:       movzbl  0x18(%r15), %eax
    0.00 :   ffffffff8122700b:       testb   $0x1, %al
    0.00 :   ffffffff8122700d:       jne     0xffffffff8122701a <unmap_page_range+0x11a>
    0.00 :   ffffffff8122700f:       testb   $0x4, 0x19(%r15)
    0.00 :   ffffffff81227014:       jne     0xffffffff81227fb7 <unmap_page_range+0x10b7>
    0.00 :   ffffffff8122701a:       movq    -0x30(%rbp), %rax
    0.00 :   ffffffff8122701e:       subq    %gs:0x28, %rax
    0.00 :   ffffffff81227027:       jne     0xffffffff81228036 <unmap_page_range+0x1136>
    0.00 :   ffffffff8122702d:       addq    $0xb8, %rsp
    0.00 :   ffffffff81227034:       popq    %rbx
    0.00 :   ffffffff81227035:       popq    %r12
    0.00 :   ffffffff81227037:       popq    %r13
    0.00 :   ffffffff81227039:       popq    %r14
    0.00 :   ffffffff8122703b:       popq    %r15
    0.00 :   ffffffff8122703d:       popq    %rbp
    0.00 :   ffffffff8122703e:       xorl    %eax, %eax
    0.00 :   ffffffff81227040:       xorl    %edx, %edx
    0.00 :   ffffffff81227042:       xorl    %ecx, %ecx
    0.00 :   ffffffff81227044:       xorl    %esi, %esi
    0.00 :   ffffffff81227046:       xorl    %edi, %edi
    0.00 :   ffffffff81227048:       xorl    %r8d, %r8d
    0.00 :   ffffffff8122704b:       xorl    %r9d, %r9d
    0.00 :   ffffffff8122704e:       xorl    %r10d, %r10d
    0.00 :   ffffffff81227051:       xorl    %r11d, %r11d
    0.00 :   ffffffff81227054:       jmp     0xffffffff81b787c0 <__x86_return_thunk>
    0.00 :   ffffffff81227059:       testq   $-0x61, %rax
    0.00 :   ffffffff8122705f:       je      0xffffffff81227006 <unmap_page_range+0x106>
    0.00 :   ffffffff81227061:       movq    %rbx, -0xb0(%rbp)
    0.00 :   ffffffff81227068:       movabsq $0x7ff0000000000f98, %rdx # imm = 0x7FF0000000000F98
    0.00 :   ffffffff81227072:       testq   %rdx, %rax
    0.00 :   ffffffff81227075:       jne     0xffffffff81226ff6 <unmap_page_range+0xf6>
    0.00 :   ffffffff8122707b:       movabsq $0xffffffffff000, %rdx # imm = 0xFFFFFFFFFF000
    0.00 :   ffffffff81227085:       movq    %rbx, -0xe0(%rbp)
    0.00 :   ffffffff8122708c:       movq    -0xd0(%rbp), %rbx
    0.00 :   ffffffff81227093:       andq    %rdx, %rax
    0.00 :   ffffffff81227096:       addq    0xefb15b(%rip), %rax # 0xffffffff821221f8 <page_offset_base>
    0.00 :   ffffffff8122709d:       movq    %r13, %rdx
    0.00 :   ffffffff812270a0:       shrq    $0x1b, %rdx
    0.00 :   ffffffff812270a4:       movq    %r13, %r14
    0.00 :   ffffffff812270a7:       movq    %rcx, -0xd8(%rbp)
    0.00 :   ffffffff812270ae:       andl    $0xff8, %edx    # imm = 0xFF8
    0.00 :   ffffffff812270b4:       movq    %r12, %r13
    0.00 :   ffffffff812270b7:       movq    %r15, %r12
    0.00 :   ffffffff812270ba:       leaq    (%rax,%rdx), %r8
    0.00 :   ffffffff812270be:       movq    -0xb0(%rbp), %rax
    0.00 :   ffffffff812270c5:       decq    %rax
    0.00 :   ffffffff812270c8:       movq    %rax, -0xb8(%rbp)
    0.00 :   ffffffff812270cf:       leaq    0x40000000(%r14), %rax
    0.00 :   ffffffff812270d6:       movq    -0xb8(%rbp), %rdi
    0.00 :   ffffffff812270dd:       movabsq $0x400000000000080, %rdx # imm = 0x400000000000080
    0.00 :   ffffffff812270e7:       andq    $-0x40000000, %rax # imm = 0xC0000000
    0.00 :   ffffffff812270ed:       movq    %rax, %r10
    0.00 :   ffffffff812270f0:       leaq    -0x1(%rax), %rax
    0.00 :   ffffffff812270f4:       cmpq    %rdi, %rax
    0.00 :   ffffffff812270f7:       movq    (%r8), %rax
    0.00 :   ffffffff812270fa:       cmovaeq -0xb0(%rbp), %r10
    0.00 :   ffffffff81227102:       andq    %rax, %rdx
    0.00 :   ffffffff81227105:       addq    $-0x80, %rdx
    0.00 :   ffffffff81227109:       je      0xffffffff81227112 <unmap_page_range+0x212>
    0.00 :   ffffffff8122710b:       btq     $0x3a, %rax
    0.00 :   ffffffff81227110:       jae     0xffffffff81227145 <unmap_page_range+0x245>
    0.00 :   ffffffff81227112:       movq    %r10, %rax
    0.00 :   ffffffff81227115:       movq    %r10, -0x50(%rbp)
    0.00 :   ffffffff81227119:       subq    %r14, %rax
    0.00 :   ffffffff8122711c:       cmpq    $0x40000000, %rax # imm = 0x40000000
    0.00 :   ffffffff81227122:       je      0xffffffff81227e9f <unmap_page_range+0xf9f>
    0.00 :   ffffffff81227128:       movq    %r8, %rsi
    0.00 :   ffffffff8122712b:       movq    %r14, %rdx
    0.00 :   ffffffff8122712e:       movq    %rbx, %rdi
    0.00 :   ffffffff81227131:       movq    %r8, -0x48(%rbp)
    0.00 :   ffffffff81227135:       callq   0xffffffff81287b80 <__split_huge_pud>
    0.00 :   ffffffff8122713a:       movq    -0x48(%rbp), %r8
    0.00 :   ffffffff8122713e:       movq    -0x50(%rbp), %r10
    0.00 :   ffffffff81227142:       movq    (%r8), %rax
    0.00 :   ffffffff81227145:       testq   $-0x61, %rax
    0.00 :   ffffffff8122714b:       je      0xffffffff81227ecf <unmap_page_range+0xfcf>
    0.00 :   ffffffff81227151:       testb   $-0x80, %al
    0.00 :   ffffffff81227153:       je      0xffffffff81227df4 <unmap_page_range+0xef4>
    0.00 :   ffffffff81227159:       movabsq $-0xfffffc0000068, %rdx # imm = 0xFFF000003FFFFF98
    0.00 :   ffffffff81227163:       testq   %rdx, %rax
    0.00 :   ffffffff81227166:       jne     0xffffffff81227f17 <unmap_page_range+0x1017>
    0.00 :   ffffffff8122716c:       movabsq $0xfffffc0000000, %rdx # imm = 0xFFFFFC0000000
    0.00 :   ffffffff81227176:       andq    %rax, %rdx
    0.00 :   ffffffff81227179:       addq    0xefb078(%rip), %rdx # 0xffffffff821221f8 <page_offset_base>
    0.00 :   ffffffff81227180:       movq    %r14, %rax
    0.00 :   ffffffff81227183:       shrq    $0x12, %rax
    0.00 :   ffffffff81227187:       movq    %r13, %r15
    0.00 :   ffffffff8122718a:       movq    %r10, -0xa0(%rbp)
    0.00 :   ffffffff81227191:       andl    $0xff8, %eax    # imm = 0xFF8
    0.00 :   ffffffff81227196:       movq    %r8, -0xc0(%rbp)
    0.00 :   ffffffff8122719d:       movq    %rbx, %r13
    0.00 :   ffffffff812271a0:       addq    %rdx, %rax
    0.00 :   ffffffff812271a3:       movq    %rax, -0x90(%rbp)
    0.00 :   ffffffff812271aa:       leaq    -0x1(%r10), %rax
    0.00 :   ffffffff812271ae:       movq    %rax, -0xa8(%rbp)
    0.00 :   ffffffff812271b5:       movq    %gs:0x22700, %rax
    0.00 :   ffffffff812271be:       movq    %rax, -0x50(%rbp)
    0.00 :   ffffffff812271c2:       leaq    0x200000(%r14), %rax
    0.00 :   ffffffff812271c9:       movq    -0xa8(%rbp), %rdi
    0.00 :   ffffffff812271d0:       andq    $-0x200000, %rax # imm = 0xFFE00000
    0.00 :   ffffffff812271d6:       movq    %rax, %r11
    0.00 :   ffffffff812271d9:       leaq    -0x1(%rax), %rax
    0.00 :   ffffffff812271dd:       cmpq    %rdi, %rax
    0.00 :   ffffffff812271e0:       movq    -0x90(%rbp), %rax
    0.00 :   ffffffff812271e7:       cmovaeq -0xa0(%rbp), %r11
    0.00 :   ffffffff812271ef:       movq    (%rax), %rax
    0.00 :   ffffffff812271f2:       movq    %rax, %rcx
    0.00 :   ffffffff812271f5:       andq    $-0x61, %rcx
    0.00 :   ffffffff812271f9:       jne     0xffffffff81227bc8 <unmap_page_range+0xcc8>
   44.59 :   ffffffff812271ff:       testq   %r15, %r15
    0.00 :   ffffffff81227202:       je      0xffffffff8122722f <unmap_page_range+0x32f>
    0.00 :   ffffffff81227204:       movq    (%r15), %rax
    0.00 :   ffffffff81227207:       testq   %rax, %rax
    0.00 :   ffffffff8122720a:       je      0xffffffff8122722f <unmap_page_range+0x32f>
    0.00 :   ffffffff8122720c:       movq    (%rax), %rdx
    0.00 :   ffffffff8122720f:       testl   $0x10000, %edx  # imm = 0x10000
    0.00 :   ffffffff81227215:       je      0xffffffff8122722f <unmap_page_range+0x32f>
    0.00 :   ffffffff81227217:       cmpb    $0x8, 0x51(%rax)
    0.00 :   ffffffff8122721b:       jbe     0xffffffff8122722f <unmap_page_range+0x32f>
    0.00 :   ffffffff8122721d:       movq    %r11, %rax
    0.00 :   ffffffff81227220:       subq    %r14, %rax
    0.00 :   ffffffff81227223:       cmpq    $0x200000, %rax # imm = 0x200000
    0.00 :   ffffffff81227229:       je      0xffffffff81227f3f <unmap_page_range+0x103f>
    0.00 :   ffffffff8122722f:       movq    -0x90(%rbp), %rax
    0.00 :   ffffffff81227236:       movq    (%rax), %rax
    0.00 :   ffffffff81227239:       testq   $-0x61, %rax
    0.00 :   ffffffff8122723f:       je      0xffffffff81227d23 <unmap_page_range+0xe23>
    0.00 :   ffffffff81227245:       movabsq $0x400000000000080, %rdx # imm = 0x400000000000080
    0.00 :   ffffffff8122724f:       andq    %rax, %rdx
    0.00 :   ffffffff81227252:       addq    $-0x80, %rdx
    0.00 :   ffffffff81227256:       je      0xffffffff81227d23 <unmap_page_range+0xe23>
    0.00 :   ffffffff8122725c:       testb   $-0x80, %al
    0.00 :   ffffffff8122725e:       movabsq $-0xfffffffe00001, %rdx # imm = 0xFFF00000001FFFFF
    0.00 :   ffffffff81227268:       movabsq $-0xffffffffff001, %rdi # imm = 0xFFF0000000000FFF
    0.00 :   ffffffff81227272:       cmoveq  %rdi, %rdx
    0.00 :   ffffffff81227276:       andq    %rdx, %rax
    0.00 :   ffffffff81227279:       testl   $0x181, %eax    # imm = 0x181
    0.00 :   ffffffff8122727e:       je      0xffffffff81227d23 <unmap_page_range+0xe23>
    0.00 :   ffffffff81227284:       andq    $-0x25, %rax
    0.00 :   ffffffff81227288:       cmpq    $0x43, %rax
    0.00 :   ffffffff8122728c:       jne     0xffffffff81227ed7 <unmap_page_range+0xfd7>
    0.00 :   ffffffff81227292:       movq    (%r12), %rax
    0.00 :   ffffffff81227296:       movq    %r11, -0x68(%rbp)
    0.00 :   ffffffff8122729a:       movq    %rax, -0x80(%rbp)
    0.00 :   ffffffff8122729e:       movq    -0x90(%rbp), %rax
    0.00 :   ffffffff812272a5:       movq    $0x0, -0x40(%rbp)
    0.00 :   ffffffff812272ad:       movq    %r14, %rbx
    0.00 :   ffffffff812272b0:       movq    $0x0, -0x38(%rbp)
    0.00 :   ffffffff812272b8:       shrq    $0x9, %rbx
    0.00 :   ffffffff812272bc:       movq    0xefaf25(%rip), %rdx # 0xffffffff821221e8 <vmemmap_base>
    0.00 :   ffffffff812272c3:       andl    $0xff8, %ebx    # imm = 0xFF8
    0.00 :   ffffffff812272c9:       movq    (%rax), %rcx
    0.00 :   ffffffff812272cc:       testq   %rcx, %rcx
    0.00 :   ffffffff812272cf:       je      0xffffffff81227818 <unmap_page_range+0x918>
    0.00 :   ffffffff812272d5:       movq    %rcx, %rax
    0.00 :   ffffffff812272d8:       andl    $0x1, %eax
    0.00 :   ffffffff812272db:       decq    %rax
    0.00 :   ffffffff812272de:       xorq    %rcx, %rax
    0.00 :   ffffffff812272e1:       shrq    $0xc, %rax
    0.00 :   ffffffff812272e5:       testb   $-0x80, %cl
    0.00 :   ffffffff812272e8:       je      0xffffffff81227c91 <unmap_page_range+0xd91>
    0.00 :   ffffffff812272ee:       movabsq $0xfffffffe00, %rsi # imm = 0xFFFFFFFE00
    0.00 :   ffffffff812272f8:       andq    %rsi, %rax
    0.00 :   ffffffff812272fb:       shlq    $0x6, %rax
    0.00 :   ffffffff812272ff:       addq    %rax, %rdx
    0.00 :   ffffffff81227302:       movabsq $0xfffffffe00000, %rax # imm = 0xFFFFFFFE00000
    0.00 :   ffffffff8122730c:       addq    0xefaee5(%rip), %rbx # 0xffffffff821221f8 <page_offset_base>
    0.00 :   ffffffff81227313:       andq    %rcx, %rax
    0.00 :   ffffffff81227316:       addq    %rax, %rbx
    0.00 :   ffffffff81227319:       leaq    0x28(%rdx), %rax
    0.00 :   ffffffff8122731d:       movq    %rax, %rdi
    0.00 :   ffffffff81227320:       movq    %rax, -0x88(%rbp)
    0.00 :   ffffffff81227327:       callq   0xffffffff81b77b20 <_raw_spin_lock>
    0.00 :   ffffffff8122732c:       movq    -0x80(%rbp), %rdi
    0.00 :   ffffffff81227330:       callq   0xffffffff81240ea0 <flush_tlb_batched_pending>
    0.00 :   ffffffff81227335:       movq    %r13, -0x48(%rbp)
    0.00 :   ffffffff81227339:       movq    %r15, %r9
    0.00 :   ffffffff8122733c:       movl    $0x0, -0x74(%rbp)
    0.00 :   ffffffff81227343:       movq    %r12, %r13
    0.00 :   ffffffff81227346:       movq    %r14, %r8
    0.00 :   ffffffff81227349:       movq    %rbx, %r15
    0.00 :   ffffffff8122734c:       jmp     0xffffffff81227454 <unmap_page_range+0x554>
    0.00 :   ffffffff81227351:       movq    -0x50(%rbp), %rax
    0.00 :   ffffffff81227355:       movq    (%rax), %rax
    0.00 :   ffffffff81227358:       testb   $0x8, %al
    0.00 :   ffffffff8122735a:       jne     0xffffffff81227475 <unmap_page_range+0x575>
    0.00 :   ffffffff81227360:       movabsq $-0xffffffffff001, %r12 # imm = 0xFFF0000000000FFF
    0.00 :   ffffffff8122736a:       andq    %rbx, %r12
    0.00 :   ffffffff8122736d:       movl    %r12d, %ecx
    0.00 :   ffffffff81227370:       andl    $0x101, %ecx    # imm = 0x101
    0.00 :   ffffffff81227376:       jne     0xffffffff81227552 <unmap_page_range+0x652>
    0.00 :   ffffffff8122737c:       testb   $0x8, %r12b
    0.00 :   ffffffff81227380:       movq    %rbx, %rdx
    0.00 :   ffffffff81227383:       movl    %r12d, %eax
    0.00 :   ffffffff81227386:       je      0xffffffff81227393 <unmap_page_range+0x493>
    0.00 :   ffffffff81227388:       movl    %ebx, %eax
    0.00 :   ffffffff8122738a:       andq    $-0x9, %rbx
    0.00 :   ffffffff8122738e:       andl    $0xff7, %eax    # imm = 0xFF7
    0.00 :   ffffffff81227393:       movq    %rbx, %rsi
    0.00 :   ffffffff81227396:       andq    $-0x5, %rsi
    0.00 :   ffffffff8122739a:       testb   $0x4, %al
    0.00 :   ffffffff8122739c:       cmovneq %rsi, %rbx
    0.00 :   ffffffff812273a0:       movq    %rbx, %r14
    0.00 :   ffffffff812273a3:       shrq    $0x3b, %rbx
    0.00 :   ffffffff812273a7:       notq    %r14
    0.00 :   ffffffff812273aa:       shlq    $0x3a, %rbx
    0.00 :   ffffffff812273ae:       shlq    $0x5, %r14
    0.00 :   ffffffff812273b2:       shrq    $0xe, %r14
    0.00 :   ffffffff812273b6:       orq     %rbx, %r14
    0.00 :   ffffffff812273b9:       shrq    $0x3a, %rbx
    0.00 :   ffffffff812273bd:       cmpq    $0x1b, %rbx
    0.00 :   ffffffff812273c1:       ja      0xffffffff812274e5 <unmap_page_range+0x5e5>
    0.00 :   ffffffff812273c7:       testq   %r9, %r9
    0.00 :   ffffffff812273ca:       je      0xffffffff812273d7 <unmap_page_range+0x4d7>
    0.00 :   ffffffff812273cc:       cmpb    $0x0, 0x8(%r9)
    0.00 :   ffffffff812273d1:       je      0xffffffff81227464 <unmap_page_range+0x564>
    0.00 :   ffffffff812273d7:       movq    %r14, %rdi
    0.00 :   ffffffff812273da:       decl    -0x38(%rbp)
    0.00 :   ffffffff812273dd:       movq    %r9, -0x70(%rbp)
    0.00 :   ffffffff812273e1:       movq    %r8, -0x60(%rbp)
    0.00 :   ffffffff812273e5:       movq    %rdx, -0x58(%rbp)
    0.00 :   ffffffff812273e9:       callq   0xffffffff81260580 <free_swap_and_cache>
    0.00 :   ffffffff812273ee:       movq    -0x60(%rbp), %r8
    0.00 :   ffffffff812273f2:       movl    %eax, %ecx
    0.00 :   ffffffff812273f4:       testl   %ecx, %ecx
    0.00 :   ffffffff812273f6:       movq    -0x58(%rbp), %rdx
    0.00 :   ffffffff812273fa:       movq    -0x70(%rbp), %r9
    0.00 :   ffffffff812273fe:       leaq    0x1000(%r8), %rax
    0.00 :   ffffffff81227405:       je      0xffffffff81227c3a <unmap_page_range+0xd3a>
    0.00 :   ffffffff8122740b:       movq    -0x48(%rbp), %rdi
    0.00 :   ffffffff8122740f:       movq    $0x0, (%r15)
    0.00 :   ffffffff81227416:       cmpq    $0x0, 0x58(%rdi)
    0.00 :   ffffffff8122741b:       je      0xffffffff81227447 <unmap_page_range+0x547>
    0.00 :   ffffffff8122741d:       testq   %r9, %r9
    0.00 :   ffffffff81227420:       je      0xffffffff81227429 <unmap_page_range+0x529>
    0.00 :   ffffffff81227422:       testb   $0x1, 0xc(%r9)
    0.00 :   ffffffff81227427:       jne     0xffffffff81227447 <unmap_page_range+0x547>
    0.00 :   ffffffff81227429:       movq    -0x48(%rbp), %rdi
    0.00 :   ffffffff8122742d:       testb   $0x10, 0x11(%rdi)
    0.00 :   ffffffff81227431:       je      0xffffffff81227447 <unmap_page_range+0x547>
    0.00 :   ffffffff81227433:       andl    $0x4, %r12d
    0.00 :   ffffffff81227437:       jne     0xffffffff81227cb8 <unmap_page_range+0xdb8>
    0.00 :   ffffffff8122743d:       cmpq    $0x1f, %rbx
    0.00 :   ffffffff81227441:       je      0xffffffff81227cae <unmap_page_range+0xdae>
    0.00 :   ffffffff81227447:       movq    %rax, %r8
    0.00 :   ffffffff8122744a:       addq    $0x8, %r15
    0.00 :   ffffffff8122744e:       cmpq    %r8, -0x68(%rbp)
    0.00 :   ffffffff81227452:       je      0xffffffff81227475 <unmap_page_range+0x575>
   30.47 :   ffffffff81227454:       movq    (%r15), %rbx
    0.00 :   ffffffff81227457:       testq   $-0x61, %rbx
    0.00 :   ffffffff8122745e:       jne     0xffffffff81227351 <unmap_page_range+0x451>
    0.00 :   ffffffff81227464:       addq    $0x1000, %r8    # imm = 0x1000
    0.00 :   ffffffff8122746b:       addq    $0x8, %r15
    0.00 :   ffffffff8122746f:       cmpq    %r8, -0x68(%rbp)
    0.00 :   ffffffff81227473:       jne     0xffffffff81227454 <unmap_page_range+0x554>
    0.00 :   ffffffff81227475:       movq    %r13, %r12
    0.00 :   ffffffff81227478:       movq    -0x48(%rbp), %r13
    0.00 :   ffffffff8122747c:       movq    %r8, %r14
    0.00 :   ffffffff8122747f:       movq    %r9, %r15
    0.00 :   ffffffff81227482:       movq    -0x80(%rbp), %rax
